,PC1,PC2,PC3,PC4,PC5,PC6
Monthly_Production_Tonnes,-0.20475264187445213,-0.245416013930681,-0.3122314111697948,0.507421116774286,-0.3624902492043343,-0.12905339853372846
Avg_Item_Price_USD,-0.38205818299304,0.10080556182283115,0.3575986081118293,-0.26220047458458823,0.4403671300792583,0.06611619922505432
Release_Cycles_Per_Year,0.26142723969207105,-0.5319418786300005,0.21831495860427053,-0.11211892403027494,0.3069946562578292,-0.09672602957489597
Carbon_Emissions_tCO2e,0.3033535290231852,0.20056364626304166,0.40375706726338284,-0.1803146443075692,-0.34906944973478937,-0.24119045953528698
Water_Usage_Million_Litres,-0.24060657775114488,-0.1487986707085541,0.21685640211388088,0.4493893344216446,0.3956183560249443,0.0028856795632248443
Landfill_Waste_Tonnes,0.26258415612048946,-0.3634470477766445,0.23224739077624876,0.07605785899816953,0.0340897187770599,-0.568374561034388
Env_Cost_Index,0.18623622213627933,0.35161896757589084,-0.38528688630906455,0.12858167233722392,0.4958744314102081,-0.11480235432651918
Sustainability_Score,0.2586285716412616,-0.24620843487924687,0.019672023408842516,-0.23791187257225976,-0.126667974764989,0.6189540462894664
Transparency_Index,0.5257195729530364,0.0042514420289004986,-0.003406677357373736,0.3437406282653621,0.09403601638044383,0.2030051033290294
Compliance_Score,0.1956935480186727,0.5717941021131858,0.315918066925286,0.19718745405743304,-0.06937154301105965,-0.10504657712254958
Ethical_Rating,0.10726465765050933,0.013687861815607704,0.3942760878724722,0.46970997606092707,0.017612946996393163,0.3794817876353277
GDP_Contribution_Million_USD,0.4486560654845214,0.019419236190449805,-0.33728772051717226,-0.12529437824511622,0.2419594857039372,-0.04088025069620017
