,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
Monthly_Production_Tonnes,-0.15084418960657048,-0.06860110920936775,0.21798389778370594,0.41938139444462447,0.11055061388514116,-0.49651536153712156,-0.3814570320390398,-0.1427006580958797,0.24152306355638406,-0.21666989753134597,-0.1236778128589308,-0.14940514391038742
Avg_Item_Price_USD,-0.39803850442596544,0.13119418614334577,-0.351717781055582,-0.2968020890676566,0.11952356630961046,0.2867572036360301,0.1286281429137216,-0.2919345323695656,0.19048773039520253,-0.20078659988667,-0.18486957480490113,0.0767141825651106
Release_Cycles_Per_Year,0.16129461707966833,-0.2763017238784548,0.1411087893683847,-0.4457764662174515,0.36137325031340267,0.010370217160488877,0.022276762736781343,-0.25316199226647623,-0.3693261644157484,0.10020906526714292,-0.1687094908634114,-0.41939202068048975
Carbon_Emissions_tCO2e,0.4263232635826354,0.016930747532821495,-0.48495867746800325,0.09519242418766745,0.06640525074264156,0.036621005855126836,0.022596435877219507,0.08545000486085647,-0.11069143155895382,-0.4704253758751702,0.30960964562713944,-0.16162150698410976
Water_Usage_Million_Litres,-0.23679872210700015,0.04384721662325734,0.2518045173992595,0.15457107026560216,0.4894426104631936,0.4038017819936793,0.012907501974623701,-0.04292731110650853,0.22541550690645315,-0.4158351055364332,-0.0547386340066094,-0.02707901499471816
Landfill_Waste_Tonnes,0.2501360318353732,-0.4049784824109904,-0.011193189853613568,-0.11200247490489801,0.30298859431537434,0.1788571948844024,-0.4704318175403492,-0.009069412787113198,0.09217901534609466,0.02782869326929571,0.3669243415704772,0.412906976185867
Env_Cost_Index,0.18742768765289927,0.2171133204965491,0.2787306597655193,0.0989852401476282,-0.3475729752630919,0.5206912332832022,-0.10626525322931764,-0.27180426339444824,0.21222472918300336,0.25701950921431227,0.13626500872302097,-0.009100898364419104
Sustainability_Score,0.22355904207638153,-0.2490470632166614,0.0710808847963713,-0.17265590988307772,0.00518522989120994,-0.1434782366166027,0.5494868269873457,0.2866764964889278,0.5695520365340373,-0.05235502965286397,0.008843304122984008,0.06103048373711941
Transparency_Index,0.47989851108594833,0.2722583761297534,0.29382705983377366,-0.05691674964053467,0.20890846667447538,-0.07936600178153355,0.060729362973928044,-0.013450703966624001,-0.13129118604151985,-0.09966097379507163,-0.46160198486430887,0.48109174940264343
Compliance_Score,0.16695025211359354,0.40324230013838724,-0.2112454152762142,-0.04912023491447513,0.04459959252391899,0.19641460967575577,-0.36741822601003515,0.5417501315890022,0.07437755330643316,0.011125010900814438,-0.3002173599424425,-0.22985198556805708
Ethical_Rating,0.12833144606895114,0.30976369517429636,-0.0717265822546762,0.049855116212665765,0.5402343479514259,-0.12771554117883807,0.05532121341081905,-0.05870696880591959,0.31499274781624254,0.5060973179326574,0.2029602502670521,-0.24088855068274723
GDP_Contribution_Million_USD,0.31298844932845654,0.09857790372108512,0.23172283714900307,-0.39590348218252547,-0.30013225663387705,-0.10468303284398624,-0.19348830174812728,-0.2632404416277687,0.29946196227861926,-0.3245539706097305,0.039158292699399806,-0.30479923626216004
Avg_Worker_Wage_USD,0.35171002520859007,0.0931414402046362,-0.2030940848244279,0.49647494025168865,0.03751255231841308,0.05392698370156313,0.27721337252337747,-0.4414661730248328,-0.08754392927898565,-0.03787985172937417,-0.05989518311413712,-0.04155718446297856
Working_Hours_Per_Week,-0.12011042725175479,0.49125189147874765,-0.1995206685739897,-0.32198240696397235,0.03740122921732121,-0.37017635110745095,-0.08362324247933238,-0.2477565182735276,0.018785249601712052,-0.03697923106766197,0.22422688808469507,0.30063423008182305
Child_Labor_Incidents,-0.10355876596178086,0.35198996161615453,0.4869517510969469,-0.008178609526218301,0.09698178312093353,0.015972750575490784,0.228385882715401,0.22132047053350629,-0.30623998521639934,-0.20637556079783637,0.46296521802630386,-0.07193860152490153
